timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:31:12.471,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:12.960,8,138,54.0,1.0,00 20 8A 00 36 00 01 81
2026-02-17 20:31:13.471,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:13.969,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:14.467,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:14.978,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:31:15.473,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:15.972,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:16.469,7,138,35.0,385.0,00 20 8A 00 23 01 81
2026-02-17 20:31:16.969,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:17.468,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:17.965,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:18.478,8,138,29.0,1.0,00 20 8A 00 1D 00 01 81
2026-02-17 20:31:18.975,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:19.470,8,138,34.0,1.0,00 20 8A 00 22 00 01 7C
2026-02-17 20:31:19.970,8,138,40.0,1.0,00 20 8A 00 28 00 01 81
2026-02-17 20:31:20.469,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:31:21.000,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:21.504,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:31:22.007,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:22.491,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:31:23.008,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:31:23.504,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:24.004,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:31:24.503,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:24.997,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:25.512,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:25.995,8,138,32.0,1.0,00 20 8A 00 20 00 01 81
2026-02-17 20:31:26.503,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:27.013,6,49,,,00 20 31 24 01 81
2026-02-17 20:31:27.509,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:28.005,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:31:28.502,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
