Date & Time               Status     Amb Temp(C)  Stack Temp(C)   Stack V(V)   Stack I(A)   Stack P(W)   Bat V(V)  
------------------------------------------------------------------------------------------------------------------------
'2/17/2026 8:57:44 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:45 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:57:45 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:46 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:46 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:47 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.200000 
'2/17/2026 8:57:47 PM'    'NORMAL'   15           46.000000       0.200000     17           9.200000     13.000000 
'2/17/2026 8:57:48 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     13.000000 
'2/17/2026 8:57:48 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:57:49 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:57:49 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:50 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:50 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:57:51 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:51 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:52 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:52 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:53 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:57:53 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:54 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:57:55 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:55 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:57:55 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:57:56 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:56 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:57 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:57:57 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:57:58 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
